"Allele","Gene","Gene Family","Allele Count","Gene Count","Family Count"
"TRBJ1-4*01","TRBJ1-4","TRBJ1",72,72,721
"TRBJ1-6*02","TRBJ1-6","TRBJ1",10,50,721
"TRBJ2-6*01","TRBJ2-6","TRBJ2",28,28,1330
"TRBV19*02","TRBV19","TRBV19",65,330,330
"TRBV5-8*01","TRBV5-8","TRBV5",4,4,136
"TRBV9*01","TRBV9","TRBV9",95,98,98
"TRBV2*03","TRBV2","TRBV2",3,60,60
"TRBV27*01","TRBV27","TRBV27",204,204,204
"TRBV7-9*01","TRBV7-9","TRBV7",52,70,155
"TRBV19*03","TRBV19","TRBV19",3,330,330
"TRBV29-1*02","TRBV29-1","TRBV29",3,45,45
"TRBV4-2*01","TRBV4-2","TRBV4",15,15,104
"TRBV4-3*01","TRBV4-3","TRBV4",21,21,104
"TRBV18*01","TRBV18","TRBV18",38,38,38
"TRBV11-3*02","TRBV11-3","TRBV11",1,6,46
"TRBV25-1*01","TRBV25-1","TRBV25",47,47,47
"TRBV29-1*01","TRBV29-1","TRBV29",42,45,45
"TRBV5-1*01","TRBV5-1","TRBV5",38,38,136
"TRBV19*01","TRBV19","TRBV19",262,330,330
"TRBV28*01","TRBV28","TRBV28",135,135,135
"TRBV30*01","TRBV30","TRBV30",20,23,23
"TRBV6-6*03","TRBV6-6","TRBV6",1,19,235
"TRBV7-2*04","TRBV7-2","TRBV7",1,27,155
"TRBV5-4*01","TRBV5-4","TRBV5",21,22,136
"TRBV13*02","TRBV13","TRBV13",1,31,31
"TRBV6-5*01","TRBV6-5","TRBV6",101,101,235
"TRBV12-4*01","TRBV12-4","TRBV12",42,42,93
"TRBV20-1*01","TRBV20-1","TRBV20",94,94,94
"TRBV24-1*01","TRBV24-1","TRBV24",27,27,27
"TRBV6-2*01","TRBV6-2","TRBV6",38,38,235
"TRBV6-1*01","TRBV6-1","TRBV6",52,52,235
"TRBV30*02","TRBV30","TRBV30",3,23,23
"TRBV6-3*01","TRBV6-3","TRBV6",14,14,235
"TRBV5-6*01","TRBV5-6","TRBV5",62,62,136
"TRBV4-1*01","TRBV4-1","TRBV4",68,68,104
"TRBV7-3*01","TRBV7-3","TRBV7",24,24,155
"TRBV6-4*01","TRBV6-4","TRBV6",7,10,235
"TRBV10-3*01","TRBV10-3","TRBV10",26,29,57
"TRBV11-2*01","TRBV11-2","TRBV11",32,33,46
"TRBV12-3*01","TRBV12-3","TRBV12",43,43,93
"TRBV3-1*01","TRBV3-1","TRBV3",40,40,40
"TRBV7-8*03","TRBV7-8","TRBV7",1,15,155
"TRBV11-1*01","TRBV11-1","TRBV11",7,7,46
"TRBV7-9*03","TRBV7-9","TRBV7",18,70,155
"TRBV6-6*01","TRBV6-6","TRBV6",15,19,235
"TRBV11-2*03","TRBV11-2","TRBV11",1,33,46
"TRBV7-2*02","TRBV7-2","TRBV7",3,27,155
"TRBV9*02","TRBV9","TRBV9",3,98,98
"TRBV7-8*01","TRBV7-8","TRBV7",14,15,155
"TRBV2*01","TRBV2","TRBV2",57,60,60
"TRBV14*01","TRBV14","TRBV14",27,27,27
"TRBV7-2*01","TRBV7-2","TRBV7",23,27,155
"TRBV13*01","TRBV13","TRBV13",30,31,31
"TRBV10-2*01","TRBV10-2","TRBV10",17,21,57
"TRBV6-4*02","TRBV6-4","TRBV6",3,10,235
"TRBV7-6*01","TRBV7-6","TRBV7",16,16,155
"TRBV15*01","TRBV15","TRBV15",15,23,23
"TRBV10-3*02","TRBV10-3","TRBV10",3,29,57
"TRBV6-8*01","TRBV6-8","TRBV6",1,1,235
"TRBV10-1*01","TRBV10-1","TRBV10",6,7,57
"TRBV16*01","TRBV16","TRBV16",3,3,3
"TRBV10-2*02","TRBV10-2","TRBV10",4,21,57
"TRBV15*02","TRBV15","TRBV15",8,23,23
"TRBV6-6*02","TRBV6-6","TRBV6",3,19,235
"TRBV10-1*02","TRBV10-1","TRBV10",1,7,57
"TRBV12-5*01","TRBV12-5","TRBV12",8,8,93
"TRBV5-4*02","TRBV5-4","TRBV5",1,22,136
"TRBV5-5*01","TRBV5-5","TRBV5",10,10,136
"TRBV7-7*01","TRBV7-7","TRBV7",3,3,155
"TRBV11-3*01","TRBV11-3","TRBV11",5,6,46
